source,target,weight,avg_streams,hyperbolic_distance
german hip hop,german pop,6,18154004.5,6.484981060028076
electro house,reggaeton,6,92863601.75,7.704063892364502
dance pop,latin hip hop,6,71435928.0,4.458247184753418
cali rap,melodic rap,6,44322955.5,4.215353965759277
indietronica,pop,6,70681921.4,2.7776081562042236
french hip hop,pop urbaine,6,9705058.333333334,0.4603893458843231
alternative r&b,underground hip hop,6,5421875.0,1.6628397703170776
meme rap,underground hip hop,6,5421875.0,2.4184393882751465
miami hip hop,trap soul,6,5421875.0,4.021142482757568
trap,trap soul,6,5421875.0,3.230539083480835
funk carioca,pagode baiano,6,22681552.0,5.784236431121826
hip pop,pop,6,29554143.5,5.798852920532227
pop,pop rock,6,198211664.3333333,4.58774995803833
country,dance pop,6,33764321.8,2.923952102661133
country,pop,6,33764321.8,4.1394429206848145
tropical,tropical house,6,97289673.0,6.126482009887695
perreo,tropical,6,22312356.33333333,5.905367851257324
belgian edm,reggaeton,6,101939379.0,6.917299270629883
belgian edm,tropical,6,101939379.0,6.555544853210449
colombian pop,r&b en espanol,5,113695135.8,4.5475382804870605
pop reggaeton,r&b en espanol,5,113695135.8,4.861591339111328
colombian pop,panamanian pop,5,113695135.8,0.7596797347068787
panamanian pop,pop reggaeton,5,113695135.8,1.588828682899475
boy band,tropical house,5,53285349.4,2.512204647064209
r&b,tropical house,5,88241471.6,4.0187788009643555
atl trap,conscious hip hop,5,66226423.4,5.429431438446045
big room,house,5,20991491.2,6.985450744628906
electro house,house,5,20991491.2,6.848568916320801
g funk,hip hop,5,38142013.0,0.36605343222618103
g funk,pop rap,5,38142013.0,1.1131885051727295
g funk,rap,5,38142013.0,1.2624084949493408
australian pop,post-teen pop,5,87213422.6,0.8643872141838074
big room,electropop,5,12807777.6,3.7070930004119873
edm,europop,5,83171166.0,4.169090747833252
europop,tropical house,5,83171166.0,2.7351155281066895
pop,uk hip hop,5,23301229.6,7.292591094970703
uk hip hop,uk pop,5,23301229.6,7.692963600158691
pop house,uk dance,5,169524174.33333334,0.5040786862373352
canadian pop,dirty south rap,5,77745784.2,5.20198917388916
latin hip hop,r&b en espanol,5,80387347.8,4.951931476593018
latin arena pop,reggaeton,5,75626716.25,6.690337657928467
mexican pop,reggaeton,5,75626716.25,6.185695171356201
chicago rap,post-teen pop,5,41837063.8,7.365419387817383
electropop,melodic rap,5,54853220.2,6.928966999053955
post-teen pop,viral pop,5,300239034.8,0.6838178038597107
argentine hip hop,reggaeton flow,5,110096939.33333331,3.3983476161956787
canadian hip hop,dance pop,5,81239490.8,5.301502704620361
alternative r&b,electropop,5,238510005.5,5.642675399780273
alternative r&b,tropical house,5,140187295.75,5.733709812164307
pop rap,queens hip hop,5,19487935.5,1.5819634199142456
italian hip hop,rap sardegna,5,5278131.5,2.5133721828460693
edm,moombahton,5,64589364.66666666,0.3257514238357544
electro house,electropop,5,38058608.6,3.564218044281006
moombahton,tropical house,5,131295853.66666669,2.11928653717041
latin hip hop,latin pop,5,71426917.8,4.918209075927734
latin hip hop,rap latina,5,86597385.5,2.117283344268799
dance pop,k-pop,5,81256634.4,3.0943424701690674
k-pop boy group,pop,5,70406639.6,0.10000713169574738
k-pop boy group,post-teen pop,5,70406639.6,0.031248727813363075
hip hop,uk pop,5,60113932.0,7.181095123291016
melodic rap,uk pop,5,69401083.6,7.643725395202637
rap latina,trap latino,5,60721698.4,2.066725254058838
canadian pop,post-teen pop,5,267655889.0,1.1830775737762451
neo soul,tropical house,5,103766452.0,3.2697882652282715
dance pop,uk contemporary r&b,5,11563038.333333336,1.9019719362258911
tropical house,uk contemporary r&b,5,11563038.333333336,2.072462320327759
uk contemporary r&b,uk pop,5,12669167.0,1.502843976020813
neo soul,pop rap,5,10144711.75,3.426969051361084
indie poptimism,pop rap,5,112056536.2,6.053343772888184
electro house,tropical,5,92863601.75,7.344992637634277
bachata,reggaeton flow,5,104536193.66666669,4.0321855545043945
pop rap,rock,5,14954973.75,5.233875751495361
alternative r&b,dance pop,5,113900035.6,4.1686601638793945
alternative r&b,post-teen pop,5,131817835.25,6.03133487701416
latin viral pop,tropical,5,53183008.66666666,3.3737125396728516
atl hip hop,dirty south rap,5,6670224.5,1.3687958717346191
modern alternative rock,pop,5,31876174.33333333,5.3158040046691895
pop,rock,5,15405051.25,4.957498550415039
brostep,pop rap,5,38846675.0,7.3041300773620605
alternative r&b,pop rap,5,110063213.4,2.5612311363220215
melodic rap,trap soul,5,79381648.0,3.2611243724823
meme rap,rap,5,5421875.0,3.29915714263916
funk das antigas,reggaeton,5,26373429.66666667,1.563196063041687
pagode baiano,reggaeton,5,26373429.66666667,5.2153639793396
brostep,dance pop,5,66552749.25,4.8063249588012695
brostep,rap,5,23020754.0,7.238417625427246
electropop,reggaeton,5,117000060.66666669,6.417357444763184
dance pop,reggaeton flow,5,61951356.75,4.360280990600586
pop rap,tropical,5,66573665.0,5.542137145996094
